TOS,ID,INT,REAL,int,float,bool,if,else,while,begin,end,(,),{,},;,",",+,-,*,/,=,<,<=,==,!=,>=,>,$
S,A,,,D,D,D,I,L,W,B,"",,,,,Ms,"",,,,,,,,,,,,
A,ID = E,,,,,,,,,"","",,,,,,"",,,,,,,,,,,,
E,T E',T E',T E',,,,,,,"","",T E',,,,,"",,,,,,,,,,,,
E',,,,,,,,,,"",ε,,ε,,ε,ε,"",+ T E',- T E',,,,ε,ε,ε,ε,ε,ε,ε
T,F T',F T',F T',,,,,,,"","",F T',,,,,"",,,,,,,,,,,,
T',,,,,,,,,,"",ε,,ε,,ε,ε,"",ε,ε,* F T',/ F T',,ε,ε,ε,ε,ε,ε,ε
F,ID,INT,REAL,,,,,,,"","",( E ),,,,,"",,,,,,,,,,,,
D,,,,P ID Mi,P ID Mi,P ID Mi,,,,"",ε,,,,ε,ε,"",,,,,,,,,,,,ε
P,,,,int,float,bool,,,,"","",,,,,,"",,,,,,,,,,,,
Mi,,,,,,,,,,"",ε,,,,ε,ε,", ID Mi",,,,,,,,,,,,ε
I,,,,,,,if ( C ) { S },,,"","",,,,,,"",,,,,,,,,,,,
L,,,,,,,,else S,,"","",,,,,,"",,,,,,,,,,,,
W,,,,,,,,,while ( C ) { S },"","",,,,,,"",,,,,,,,,,,,
B,,,,,,,,,,begin S Ms end,"",,,,,,"",,,,,,,,,,,,
Ms,,,,,,,,,,"",ε,,,,ε,; S Ms,"",,,,,,,,,,,,ε
C,E C',E C',E C',,,,,,,"","",E C',,,,,"",,,,,,,,,,,,
C',,,,,,,,,,"","",,ε,,,,"",,,,,,R E,R E,R E,R E,R E,R E,
R,,,,,,,,,,"","",,,,,,"",,,,,,<,<=,==,!=,>=,>,